Product,Weight,Length,Width,Height,Fragile,Destination,Priority,DispatchDate
Agritech Technology Product 069,592.8,9.8,3.6,2.3,True,Rack8,High,2025-08-09
Agritech Technology Product 070,26.3,7.2,3.2,2.4,False,ManualStorage5,Low,2025-08-10
Agritech Technology Product 071,537.0,1.3,5.5,0.8,False,ZoneF,Medium,2025-08-11
Agritech Technology Product 072,197.9,9.0,4.6,4.3,False,PremiumLane,High,2025-08-12
Agritech Technology Product 073,622.7,9.6,4.7,4.3,True,ShippingArea,Medium,2025-08-13
Agritech Technology Product 074,265.4,11.3,6.7,3.8,False,Mezzanine1,Low,2025-08-14
Agritech Technology Product 075,440.2,7.8,3.4,2.7,True,Rack6,High,2025-08-15
Agritech Technology Product 076,448.9,2.0,0.7,1.4,False,Mezzanine5,High,2025-08-16
Agritech Technology Product 077,299.9,6.6,3.7,2.6,False,ExpressLane,Medium,2025-08-17
Agritech Technology Product 078,506.7,12.2,1.5,0.6,True,Aisle9,Low,2025-08-18
Agritech Technology Product 079,566.2,7.0,5.3,0.2,True,QualityControl,Low,2025-08-19
Agritech Technology Product 080,432.9,1.6,3.9,3.0,True,SectionH,Medium,2025-08-20
Agritech Technology Product 081,173.7,7.1,2.2,3.9,False,LightItems,Low,2025-08-21
Agritech Technology Product 082,33.0,7.6,3.7,2.7,False,Rack1,High,2025-08-22
Agritech Technology Product 083,394.7,4.9,4.2,1.2,True,Floor5,High,2025-08-23
Agritech Technology Product 084,629.3,5.5,2.4,1.1,False,Mezzanine3,Low,2025-08-24
Agritech Technology Product 085,479.2,10.2,1.4,3.2,True,ZoneJ,Medium,2025-08-25
Agritech Technology Product 086,354.9,3.5,1.8,1.5,True,Aisle7,High,2025-08-26
Agritech Technology Product 087,242.1,10.5,2.5,1.1,False,Floor1,Medium,2025-08-27
Agritech Technology Product 088,698.6,2.7,5.1,0.5,False,BulkStorage,Medium,2025-08-28
Agritech Technology Product 089,360.1,5.6,1.0,2.6,True,Rack7,High,2025-08-29
Agritech Technology Product 090,272.5,10.5,4.4,1.9,False,Rack1,High,2025-08-30
Agritech Technology Product 091,304.0,7.5,3.6,0.6,True,ZoneD,High,2025-08-01
Agritech Technology Product 092,742.4,6.1,5.3,3.2,False,HighBay4,High,2025-08-02
Agritech Technology Product 093,583.5,4.2,3.8,5.9,True,ZoneJ,High,2025-08-03
Agritech Technology Product 094,431.8,14.7,5.2,3.1,True,ManualStorage3,Low,2025-08-04
Agritech Technology Product 095,216.0,3.9,3.0,5.0,False,OverflowStorage,Medium,2025-08-05
Agritech Technology Product 096,655.0,3.3,4.3,3.9,True,ZoneH,Medium,2025-08-06
Agritech Technology Product 097,501.3,7.7,4.3,5.6,False,SectionD,Low,2025-08-07
Agritech Technology Product 098,545.8,2.1,4.2,2.3,False,Priority2,High,2025-08-08
Agritech Technology Product 099,70.9,13.8,3.0,0.3,False,ZoneG,Low,2025-08-09
Agritech Technology Product 100,620.5,13.2,0.4,3.1,False,Floor1,Medium,2025-08-10
